sbj; age; sex; block; phase; trialnr; sound; press order; accumulated RT; press duration; key name
2323; 22; ženski; ritem; eksperiment; 5; R6_complex_tapping.wav; 7; 2212; 72; space
2323; 22; ženski; ritem; eksperiment; 5; R6_complex_tapping.wav; 8; 2536; 84; space
2323; 22; ženski; ritem; eksperiment; 5; R6_complex_tapping.wav; 9; 3567; 56; return
2323; 22; ženski; ritem; eksperiment; 6; R8_complex_tapping.wav; 1; 0; 83; space
2323; 22; ženski; ritem; eksperiment; 6; R8_complex_tapping.wav; 2; 285; 48; space
2323; 22; ženski; ritem; eksperiment; 6; R8_complex_tapping.wav; 3; 427; 56; space
2323; 22; ženski; ritem; eksperiment; 6; R8_complex_tapping.wav; 4; 602; 28; space
2323; 22; ženski; ritem; eksperiment; 6; R8_complex_tapping.wav; 5; 1259; 88; space
2323; 22; ženski; ritem; eksperiment; 6; R8_complex_tapping.wav; 6; 1607; 44; space
2323; 22; ženski; ritem; eksperiment; 6; R8_complex_tapping.wav; 7; 1754; 60; space
2323; 22; ženski; ritem; eksperiment; 6; R8_complex_tapping.wav; 8; 2053; 40; space
2323; 22; ženski; ritem; eksperiment; 6; R8_complex_tapping.wav; 9; 2704; 92; space
2323; 22; ženski; ritem; eksperiment; 6; R8_complex_tapping.wav; 10; 3018; 72; space
2323; 22; ženski; ritem; eksperiment; 6; R8_complex_tapping.wav; 11; 3873; 80; return
2323; 22; ženski; tempo; vaja; 1; TE_exampleI_129bpm_tapping.wav; 1; 0; 59; space
2323; 22; ženski; tempo; vaja; 1; TE_exampleI_129bpm_tapping.wav; 2; 442; 68; space
2323; 22; ženski; tempo; vaja; 1; TE_exampleI_129bpm_tapping.wav; 3; 902; 80; space
2323; 22; ženski; tempo; vaja; 1; TE_exampleI_129bpm_tapping.wav; 4; 1382; 68; space
2323; 22; ženski; tempo; vaja; 1; TE_exampleI_129bpm_tapping.wav; 5; 1880; 76; space
2323; 22; ženski; tempo; vaja; 1; TE_exampleI_129bpm_tapping.wav; 6; 2338; 80; space
2323; 22; ženski; tempo; vaja; 1; TE_exampleI_129bpm_tapping.wav; 7; 3239; NA; return
2323; 22; ženski; tempo; vaja; 2; TE_exampleII_116bpm_tapping.wav; 1; 0; 56; space
2323; 22; ženski; tempo; vaja; 2; TE_exampleII_116bpm_tapping.wav; 2; 316; 64; space
2323; 22; ženski; tempo; vaja; 2; TE_exampleII_116bpm_tapping.wav; 3; 743; 44; space
2323; 22; ženski; tempo; vaja; 2; TE_exampleII_116bpm_tapping.wav; 4; 1030; 68; space
2323; 22; ženski; tempo; vaja; 2; TE_exampleII_116bpm_tapping.wav; 5; 2224; 52; return
2323; 22; ženski; tempo; vaja; 3; TE_exampleIII_121bpm_tapping.wav; 1; 0; 71; space
2323; 22; ženski; tempo; vaja; 3; TE_exampleIII_121bpm_tapping.wav; 2; 432; 68; space
2323; 22; ženski; tempo; vaja; 3; TE_exampleIII_121bpm_tapping.wav; 3; 918; 80; space
2323; 22; ženski; tempo; vaja; 3; TE_exampleIII_121bpm_tapping.wav; 4; 1395; 92; space
2323; 22; ženski; tempo; vaja; 3; TE_exampleIII_121bpm_tapping.wav; 5; 1899; 76; space
2323; 22; ženski; tempo; vaja; 3; TE_exampleIII_121bpm_tapping.wav; 6; 2358; 136; space
2323; 22; ženski; tempo; vaja; 3; TE_exampleIII_121bpm_tapping.wav; 7; 2851; 108; space
2323; 22; ženski; tempo; vaja; 3; TE_exampleIII_121bpm_tapping.wav; 8; 3361; 172; space
2323; 22; ženski; tempo; vaja; 3; TE_exampleIII_121bpm_tapping.wav; 9; 4779; 116; return
2323; 22; ženski; tempo; eksperiment; 1; T1_tapping.wav; 1; 0; 99; space
2323; 22; ženski; tempo; eksperiment; 1; T1_tapping.wav; 2; 552; 104; space
