"sbj","age","sex","block","phase","trialnr","sound","exclude","AbsoluteAsynchrony","RelativeAsynchrony","AbsoluteCorrectness","RelativeCorrectness","Asynchrony"
"04e994ca5d0abbe65627001e600b5917-1",11,"moški","tempo","eksperiment",3,"TE_CS2_tapping.wav",0,NA,NA,NA,NA,0.041038961038961
"04e994ca5d0abbe65627001e600b5917-2",14,"moški","ritem","vaja",1,"R_exampleI_520260520260520130130520_tapping.wav",0,6.76494082840237,3.15651502084232,0,0,NA
"04e994ca5d0abbe65627001e600b5917-2",14,"moški","ritem","eksperiment",1,"R_E1_tapping.wav",0,4.25618131868132,2.85671345304373,0,0,NA
"04e994ca5d0abbe65627001e600b5917-2",14,"moški","ritem","eksperiment",2,"R_M1_tapping.wav",0,1.05134615384615,0.910245929559234,0,0,NA
"04e994ca5d0abbe65627001e600b5917-2",14,"moški","ritem","eksperiment",3,"R_MS2_tapping.wav",0,6.80714285714286,3.07020358336979,0,0,NA
"04e994ca5d0abbe65627001e600b5917-2",14,"moški","tempo","vaja",1,"TE_exampleI_129bpm_tapping.wav",0,NA,NA,NA,NA,0.0817204301075269
"04e994ca5d0abbe65627001e600b5917-2",14,"moški","tempo","eksperiment",1,"TE_MS2_tapping.wav",0,NA,NA,NA,NA,0.0658406219630709
"04e994ca5d0abbe65627001e600b5917-2",14,"moški","tempo","eksperiment",2,"TE_E1_tapping.wav",0,NA,NA,NA,NA,0.0154652686762779
"04e994ca5d0abbe65627001e600b5917-2",14,"moški","tempo","eksperiment",3,"TE_CS2_tapping.wav",0,NA,NA,NA,NA,0.182857142857143
"33cc76dfd8493a5f742590adb5e55009-3",14,"ženski","ritem","vaje",1,"R_exampleI_520260520260520130130520_tapping.wav",0,0.724038461538462,0.0813616071428573,0,1,NA
"33cc76dfd8493a5f742590adb5e55009-3",14,"ženski","ritem","eksperimenta",1,"R_E1_tapping.wav",0,0.524358974358974,0.104289649744195,1,1,NA
"33cc76dfd8493a5f742590adb5e55009-3",14,"ženski","ritem","eksperimenta",2,"R_M1_tapping.wav",0,0.129487179487179,0.141493722777351,1,1,NA
"33cc76dfd8493a5f742590adb5e55009-3",14,"ženski","ritem","eksperimenta",3,"R_MS2_tapping.wav",0,0.399145299145299,0.226054421768707,0,0,NA
"33cc76dfd8493a5f742590adb5e55009-3",14,"ženski","tempo","vaja",1,"TE_exampleI_129bpm_tapping.wav",0,NA,NA,NA,NA,0.133640552995392
"33cc76dfd8493a5f742590adb5e55009-3",14,"ženski","tempo","eksperiment",1,"TE_MS2_tapping.wav",0,NA,NA,NA,NA,0.0408163265306122
"33cc76dfd8493a5f742590adb5e55009-3",14,"ženski","tempo","eksperiment",2,"TE_E1_tapping.wav",0,NA,NA,NA,NA,0.0374836173001311
"33cc76dfd8493a5f742590adb5e55009-3",14,"ženski","tempo","eksperiment",3,"TE_CS2_tapping.wav",0,NA,NA,NA,NA,0.0519480519480519
"33cc76dfd8493a5f742590adb5e55009-2",9,"moški","ritem","vaja",1,"R_exampleI_520260520260520130130520_tapping.wav",0,2.08730769230769,1.49418078567194,0,0,NA
"33cc76dfd8493a5f742590adb5e55009-2",9,"moški","ritem","eksperiment",1,"R_E1_tapping.wav",0,1.95367132867133,2.22036595067621,0,0,NA
"33cc76dfd8493a5f742590adb5e55009-2",9,"moški","ritem","eksperiment",2,"R_M1_tapping.wav",0,6.55021367521368,2.2892177589852,0,0,NA
"33cc76dfd8493a5f742590adb5e55009-2",9,"moški","ritem","eksperiment",3,"R_MS2_tapping.wav",0,2.47564102564103,1.88603868797309,0,0,NA
